name,averageValue,type,comments
AMR Systems,200000,Standard Product,Core scalable product. Automated material routing for corrugated end-of-line. Target: 4–6 units/year = ~€1.0M annual revenue. OEE improvement focus. Medium sales cycle (3–5 months).
Easy Pack,150000,Standard Product,Volume driver product. Automated packing systems for corrugated converting. Target: 5–7 units/year = ~€0.9M annual revenue. High SKU variability compatibility. Fast ROI.
Palletizer,450000,Standard Product,High-value robotic palletizing system. Target: 1–2 units/year = ~€0.6M annual revenue. Strategic upside. Longer sales cycle (6–9 months). High margin potential.
Ingetrans,1200000,Strategic Custom,Strategic flagship — heavy corrugated board transport systems. ~0.6 units/year = ~€0.7M revenue. Highest single-deal risk and reward. USA market priority. Requires C-level relationship.
Retal,90000,Standard Product,"Scrap/trim management system. High frequency, low price = volume. Target: 6–10 units/year = ~€0.7M annual revenue. Fastest ROI product (<12 months). Strong recurring installed base."
Service & Maintenance,22500,Service,"Annual maintenance contracts + T&M interventions. €45/h rate, €30/h cost, €15/h margin. Current capacity: ~2,000 h/year in Catalunya. Scale target: 14 technicians = 24,500 h = €1.1M revenue potential."
Custom Engineering Projects,350000,Custom Project,"Bespoke industrial automation. Strategic role only. Target: €0.5M/year. Selected for innovation, strategic accounts, or complex solutions. Not required for survival — chosen, not needed."
Quick Throughput Pack,80000,Productized Offer,"4–8 week deployment. Focus: logistics optimization, scrap reduction, safety improvements. ROI < 12–15 months. Entry offer for new account activation."
Smart Changeover Cell,200000,Productized Offer,8–12 week deployment. Focus: robotics + OEE improvement for high-variability SKU plants. ROI < 12–18 months. Targets converting plants with frequent changeovers.
Greenfield Assist,500000,Productized Offer,12–24 weeks. Full end-of-line project integration for new or converted plants. Strategic accounts only. Highest relationship and complexity requirement.
