productFamily,numberOfSegment,region,estPurchasingQuarter,estRevenue,margin,kam
AMR Systems,Corrugated Packaging,Spain,Q2 2026,400000,30,Diego Garcia
AMR Systems,Corrugated Packaging,USA,Q4 2026,400000,28,Michael Korchega
AMR Systems,Corrugated Packaging,Europe,Q3 2026,200000,29,Diego Garcia
Easy Pack,Box Converter,Spain,Q2 2026,450000,34,Diego Garcia
Easy Pack,Corrugated Packaging,Europe,Q3 2026,300000,32,Diego Garcia
Easy Pack,Corrugated Packaging,USA,Q4 2026,150000,30,Michael Korchega
Palletizer,Corrugated Packaging,Spain,Q3 2026,450000,26,Diego Garcia
Palletizer,Corrugated Packaging,USA,Q4 2026,450000,27,Michael Korchega
Ingetrans,Corrugated Packaging,USA,Q4 2026,720000,27,Michael Korchega
Retal,Corrugated Packaging,Spain,Q2 2026,360000,33,Diego Garcia
Retal,Box Converter,Spain,Q3 2026,180000,35,Diego Garcia
Retal,Corrugated Packaging,Europe,Q4 2026,180000,31,Diego Garcia
Service & Maintenance,Installed Base,Spain,Q2 2026,100000,38,Diego Garcia
Service & Maintenance,Installed Base,Spain,Q4 2026,100000,38,Diego Garcia
Custom Engineering,Strategic Accounts,USA,Q3 2026,250000,24,Michael Korchega
Custom Engineering,Strategic Accounts,Europe,Q4 2026,250000,24,Diego Garcia
